V1;0;0;1;3;0;0;-2;0;3;2;2;0;0;0;0;-5;0;0;0;0;0;0;-1;0;0;0;0;-3;-3;3;0;5;-1;0;0
V2;0;0;1;0;3;-5;0;-3;0;4;-2;3;2;0;3;-3;0;0;-2;1;-4;2;0;-3;-4;-5;0;0;0;-4;0;0;-2;0;0
V3;0;0;0;0;0;-1;-2;0;0;0;0;0;5;4;4;1;0;0;0;0;2;0;0;4;0;0;0;0;-5;0;1;0;0;5;-3
V4;-4;-2;-4;0;0;0;5;5;0;0;-3;-5;0;2;0;0;0;0;0;0;-2;0;0;0;4;0;0;-4;0;0;0;0;-2;-4;2
V5;0;0;0;3;0;-5;-1;5;-3;3;4;-5;0;2;1;0;3;-2;0;0;0;4;2;0;-1;3;0;-2;2;0;-4;-2;-5;-1;4
V6;5;0;5;3;0;0;0;0;0;0;4;3;0;0;0;0;0;0;-3;0;-5;-2;0;0;0;-4;4;0;2;0;5;0;2;0;5
V7;0;3;0;0;3;5;0;0;0;1;-5;0;1;0;0;5;-3;3;3;-5;0;2;0;-3;1;2;5;0;5;2;0;0;5;0;-4
V8;-4;0;0;2;-4;0;-5;0;4;-1;-1;2;0;-4;5;-1;0;5;0;0;-3;0;0;0;-2;0;0;0;3;5;0;-3;0;0;4
V9;3;0;0;0;0;-2;-1;3;0;0;2;0;2;0;2;2;0;1;0;5;-2;-5;0;2;4;0;-4;4;5;5;0;3;3;-5;0
V10;1;-4;0;0;0;3;0;0;-2;0;3;0;0;0;1;1;0;0;0;0;-3;-3;3;0;-2;0;3;2;0;0;0;5;-1;0;0
V11;0;0;4;3;0;0;0;0;-4;0;0;-5;-4;1;0;-3;3;-4;5;-3;0;0;0;0;0;-3;0;0;-3;0;2;-3;-2;0;4
V12;-3;0;0;-5;0;0;-3;0;0;-1;0;0;3;4;0;1;0;3;0;2;0;-5;0;3;3;-5;0;-3;5;4;-4;4;1;0;0
V13;1;0;0;0;0;0;0;0;0;4;0;-1;0;0;0;-5;2;0;0;-2;0;-1;0;-5;-3;0;0;1;5;-3;0;-3;-3;5;0
V14;0;3;0;-2;0;0;-1;2;0;0;-5;-2;-3;0;0;4;5;-4;-1;2;-1;5;4;1;-1;-2;0;-1;0;0;1;-3;0;-5;0
V15;0;-2;0;0;-1;4;-1;0;-2;-2;5;1;1;0;0;2;-2;-2;0;0;0;0;-3;3;0;0;1;2;-4;0;-4;0;-2;1;-3
V16;5;-5;-2;-5;5;4;-3;0;0;0;0;4;0;0;0;0;0;0;0;-2;-5;0;0;-1;1;0;0;4;0;-1;0;-2;-5;0;0
V17;0;0;0;0;4;-2;0;3;0;3;-3;2;-5;0;0;-1;0;4;4;-3;0;0;2;0;0;5;-5;0;0;-3;-5;1;0;0;-3
V18;4;-1;0;0;0;-4;-4;0;2;0;0;0;0;0;2;0;0;0;-4;0;4;-4;3;0;0;0;5;1;-2;0;4;0;0;0;0
V19;1;-2;-4;3;3;0;0;0;-1;-2;-4;-2;1;3;0;4;-2;5;0;-2;0;4;0;0;1;0;0;-2;-3;0;5;0;0;0;0
V20;-3;0;-5;4;0;0;0;0;-4;0;-2;1;1;-4;0;3;4;0;0;0;4;3;-1;0;4;-5;1;1;0;0;-1;-4;0;-3;4
V21;0;5;2;0;-3;0;5;0;-1;-3;0;-3;2;0;0;2;0;-5;0;1;0;0;0;0;1;0;0;4;0;-5;0;-4;0;0;-5
V22;2;0;0;0;0;-2;-5;0;5;-5;0;3;-1;-2;0;1;4;0;0;2;0;0;0;4;0;0;5;0;0;-1;-5;-1;4;-5;0
V23;1;-4;0;0;0;-3;0;0;0;0;0;-2;-3;0;-4;0;4;0;5;0;3;0;0;0;0;0;0;1;-2;-3;0;0;0;0;-5
V24;0;-4;3;-4;0;0;-3;0;0;0;-4;0;0;0;2;-5;5;-2;-5;0;0;0;0;0;0;0;0;0;0;3;0;-3;1;2;0
V25;0;0;0;-4;0;-2;5;0;0;2;0;0;0;3;0;0;-3;3;3;0;2;0;-4;0;0;1;5;0;0;0;5;0;0;-4;2
V26;-2;0;3;-4;0;0;-2;5;0;-2;0;-2;2;0;-5;0;0;0;-1;5;0;1;5;0;0;0;4;-3;-3;0;0;5;0;0;0
V27;-4;3;-5;5;-5;0;0;0;0;0;0;-1;-5;-5;-5;-2;0;-1;0;0;0;5;1;4;0;0;0;-5;3;-3;1;0;0;4;0
V28;0;-1;0;0;-2;0;3;0;0;0;3;0;4;5;0;0;0;0;0;0;0;2;3;0;1;0;-1;0;2;-5;0;0;0;3;0
V29;0;-5;-1;0;-4;0;1;-2;-1;0;-4;0;0;0;1;0;0;0;3;-4;-1;0;-3;0;1;0;-3;3;0;4;-1;0;-2;5;3
V30;0;5;-4;5;0;0;4;0;-2;0;3;5;-3;0;0;-4;-4;5;0;-1;0;2;5;-4;0;0;0;-4;-4;0;-2;-4;2;0;0
V31;0;1;0;0;0;-4;-1;0;0;0;0;0;0;0;0;-4;-5;-3;0;-5;5;4;-3;-3;2;0;0;0;-4;0;0;-2;0;0;0
V32;-5;3;0;0;-3;0;4;0;0;3;3;0;0;2;0;0;4;0;-2;2;0;0;0;-5;-1;1;5;0;0;0;0;0;-3;0;2
V33;0;0;0;1;0;5;0;0;0;0;0;0;0;0;-2;0;-5;0;0;0;2;0;-2;0;2;0;-1;0;0;3;1;-5;0;0;-2
V34;0;0;-4;0;-3;-1;0;5;0;3;0;1;1;0;-3;0;0;1;5;-5;-4;0;4;0;-3;5;-2;-4;0;5;2;3;0;0;0
V35;1;0;0;1;2;0;2;2;0;0;5;0;1;0;5;0;-1;0;0;-2;4;-4;4;0;2;0;4;-2;2;5;1;-2;1;-2;0
